Facility Name,Payment Entered,Payment Received,Other Ref #,Credit Source(w Payer),Payment Total Paid (Sum),Payment Check #
Facility-A,18-09-2023,18-09-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$3772.65,NC#
Facility-A,02-05-2023,02-05-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$3824.37,NC#
Facility-A,25-01-2024,25-01-2024,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$1753.09,NC#
Facility-A,09-03-2023,09-03-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$3039.36,NC#
Facility-A,10-08-2023,10-08-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$3399.06,NC#
Facility-A,24-06-2023,24-06-2023,ABCDEF,UNITED HEALTHCARE,$3708.16,NC#
Facility-A,11-04-2023,11-04-2023,ABCDEF,UNITED HEALTHCARE,$4250.57,NC#
Facility-A,31-05-2023,31-05-2023,ABCDEF,UNITED HEALTHCARE,$3095.20,NC#
Facility-A,20-05-2023,20-05-2023,ABCDEF,UNITED HEALTHCARE,$1280.53,NC#
Facility-A,05-06-2023,05-06-2023,ABCDEF,UNITED HEALTHCARE,$4106.20,NC#
Facility-A,02-05-2023,02-05-2023,ABCDEF,AETNA,$1817.03,NC#
Facility-A,26-08-2023,26-08-2023,ABCDEF,AETNA,$2740.00,NC#
Facility-A,17-10-2023,17-10-2023,ABCDEF,AETNA,$4993.85,NC#
Facility-A,25-09-2023,25-09-2023,ABCDEF,AETNA,$2360.73,NC#
Facility-A,21-09-2023,21-09-2023,ABCDEF,AETNA,$3487.64,NC#
Facility-A,09-07-2023,09-07-2023,ABCDEF,AETNA,$363.40,NC#
Facility-A,28-03-2023,28-03-2023,ABCDEF,AETNA,$4931.25,NC#
Facility-A,29-06-2023,29-06-2023,ABCDEF,AETNA,$2128.70,NC#
Facility-A,09-11-2023,09-11-2023,ABCDEF,AETNA,$2909.99,NC#
Facility-A,03-06-2023,03-06-2023,ABCDEF,AETNA,$408.18,NC#
Facility-A,29-02-2024,29-02-2024,ABCDEF,ASR PHYSICIANS CARE,$1620.31,NC#
Facility-A,24-11-2023,24-11-2023,ABCDEF,ASR PHYSICIANS CARE,$2857.66,NC#
Facility-A,21-08-2023,21-08-2023,ABCDEF,ASR PHYSICIANS CARE,$4625.79,NC#
Facility-A,15-10-2023,15-10-2023,ABCDEF,ASR PHYSICIANS CARE,$3274.29,NC#
Facility-A,21-10-2023,21-10-2023,ABCDEF,ASR PHYSICIANS CARE,$4841.50,NC#
Facility-A,28-12-2023,28-12-2023,ABCDEF,CIGNA HEALTH PLANS,$179.73,NC#
Facility-A,23-11-2023,23-11-2023,ABCDEF,CIGNA HEALTH PLANS,$4949.01,NC#
Facility-A,09-03-2023,09-03-2023,ABCDEF,CIGNA HEALTH PLANS,$1466.85,NC#
Facility-A,19-02-2024,19-02-2024,ABCDEF,CIGNA HEALTH PLANS,$569.88,NC#
Facility-A,12-07-2023,12-07-2023,ABCDEF,CIGNA HEALTH PLANS,$2998.76,NC#
Facility-A,07-02-2024,07-02-2024,ABCDEF,UNITED HEALTHCARE,$2503.65,NC#
Facility-A,12-03-2023,12-03-2023,ABCDEF,UNITED HEALTHCARE,$4522.64,NC#
Facility-A,14-06-2023,14-06-2023,ABCDEF,UNITED HEALTHCARE,$4813.15,NC#
Facility-A,02-11-2023,02-11-2023,ABCDEF,UNITED HEALTHCARE,$1644.49,NC#
Facility-A,13-03-2023,13-03-2023,ABCDEF,UNITED HEALTHCARE,$1712.66,NC#
Facility-A,15-01-2024,15-01-2024,ABCDEF,UNITED HEALTHCARE,$2919.25,NC#
Facility-A,16-07-2023,16-07-2023,ABCDEF,UNITED HEALTHCARE,$4460.11,NC#
Facility-A,19-10-2023,19-10-2023,ABCDEF,UNITED HEALTHCARE,$4385.97,NC#
Facility-A,14-01-2024,14-01-2024,ABCDEF,UNITED HEALTHCARE,$928.77,NC#
Facility-A,15-07-2023,15-07-2023,ABCDEF,UNITED HEALTHCARE,$2194.02,NC#
Facility-A,28-03-2024,28-03-2024,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$1841.36,NC#
Facility-A,08-01-2024,08-01-2024,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$1953.58,NC#
Facility-A,18-02-2024,18-02-2024,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$2741.17,NC#
Facility-A,02-01-2024,02-01-2024,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$4631.96,NC#
Facility-A,13-04-2024,13-04-2024,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$1676.71,NC#
Facility-A,26-12-2023,26-12-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$4191.56,NC#
Facility-A,27-09-2023,27-09-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$1431.44,NC#
Facility-A,07-01-2024,07-01-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$1809.29,NC#
Facility-A,05-01-2024,05-01-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$508.07,NC#
Facility-A,12-08-2023,12-08-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$171.45,NC#
Facility-A,04-07-2023,04-07-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$2046.07,NC#
Facility-A,02-06-2023,02-06-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$3771.85,NC#
Facility-A,20-05-2024,20-05-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$4981.25,NC#
Facility-A,03-07-2023,03-07-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$3453.86,NC#
Facility-A,26-09-2023,26-09-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$4367.99,NC#
Facility-A,21-09-2023,21-09-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$3514.70,NC#
Facility-A,21-01-2024,21-01-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$1095.67,NC#
Facility-A,14-02-2024,14-02-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$3419.27,NC#
Facility-A,31-10-2023,31-10-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$495.37,NC#
Facility-A,20-01-2024,20-01-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$732.98,NC#
Facility-A,02-08-2023,02-08-2023,ABCDEF,CIGNA HEALTH PLANS,$305.05,NC#
Facility-A,06-02-2024,06-02-2024,ABCDEF,CIGNA HEALTH PLANS,$1514.71,NC#
Facility-A,08-08-2023,08-08-2023,ABCDEF,CIGNA HEALTH PLANS,$3784.59,NC#
Facility-A,28-02-2024,28-02-2024,ABCDEF,CIGNA HEALTH PLANS,$4005.44,NC#
Facility-A,25-03-2024,25-03-2024,ABCDEF,CIGNA HEALTH PLANS,$4192.45,NC#
Facility-A,19-09-2023,19-09-2023,ABCDEF,UMR FKA UMR WAUSAU,$220.31,NC#
Facility-A,08-03-2024,08-03-2024,ABCDEF,UMR FKA UMR WAUSAU,$2088.36,NC#
Facility-A,31-03-2024,31-03-2024,ABCDEF,UMR FKA UMR WAUSAU,$3107.29,NC#
Facility-A,28-12-2023,28-12-2023,ABCDEF,UMR FKA UMR WAUSAU,$1079.99,NC#
Facility-A,22-06-2023,22-06-2023,ABCDEF,UMR FKA UMR WAUSAU,$3162.37,NC#
Facility-A,11-06-2023,11-06-2023,ABCDEF,UMR FKA UMR WAUSAU,$3163.06,NC#
Facility-A,12-01-2024,12-01-2024,ABCDEF,UMR FKA UMR WAUSAU,$4272.85,NC#
Facility-A,20-03-2024,20-03-2024,ABCDEF,UMR FKA UMR WAUSAU,$3712.61,NC#
Facility-A,02-07-2023,02-07-2023,ABCDEF,UMR FKA UMR WAUSAU,$304.08,NC#
Facility-A,01-05-2024,01-05-2024,ABCDEF,UMR FKA UMR WAUSAU,$742.85,NC#
